 29:    29   S0(e= 15, idx=120) | S1(e= 30, idx= 60) | S2(e= 60, idx= 30) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 30:    30   S0(e= 15, idx=120) | S1(e= 30, idx= 60) | S2(e= 60, idx= 30) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 31:    31   S0(e= 15, idx=120) | S1(e= 30, idx= 60) | S2(e= 60, idx= 30) | S3(e=120, idx= 15) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 32:    32   S0(e=119, idx=119) | S1(e=110, idx= 59) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 33:    33   S0(e=119, idx=119) | S1(e=110, idx= 59) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 34:    34   S0(e=119, idx=119) | S1(e=110, idx= 59) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 35:    35   S0(e=119, idx=119) | S1(e=110, idx= 59) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 36:    36   S0(e= 55, idx=118) | S1(e=110, idx= 59) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 37:    37   S0(e= 55, idx=118) | S1(e=110, idx= 59) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 38:    38   S0(e= 55, idx=118) | S1(e=110, idx= 59) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 39:    39   S0(e= 55, idx=118) | S1(e=110, idx= 59) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 40:    40   S0(e= 87, idx=117) | S1(e= 46, idx= 58) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 41:    41   S0(e= 87, idx=117) | S1(e= 46, idx= 58) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 42:    42   S0(e= 87, idx=117) | S1(e= 46, idx= 58) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 43:    43   S0(e= 87, idx=117) | S1(e= 46, idx= 58) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 44:    44   S0(e= 23, idx=116) | S1(e= 46, idx= 58) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 45:    45   S0(e= 23, idx=116) | S1(e= 46, idx= 58) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 46:    46   S0(e= 23, idx=116) | S1(e= 46, idx= 58) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 47:    47   S0(e= 23, idx=116) | S1(e= 46, idx= 58) | S2(e= 92, idx= 29) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 48:    48   S0(e=103, idx=115) | S1(e= 78, idx= 57) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 49:    49   S0(e=103, idx=115) | S1(e= 78, idx= 57) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 50:    50   S0(e=103, idx=115) | S1(e= 78, idx= 57) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 51:    51   S0(e=103, idx=115) | S1(e= 78, idx= 57) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 52:    52   S0(e= 39, idx=114) | S1(e= 78, idx= 57) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 53:    53   S0(e= 39, idx=114) | S1(e= 78, idx= 57) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 54:    54   S0(e= 39, idx=114) | S1(e= 78, idx= 57) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 55:    55   S0(e= 39, idx=114) | S1(e= 78, idx= 57) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 56:    56   S0(e= 71, idx=113) | S1(e= 14, idx= 56) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 57:    57   S0(e= 71, idx=113) | S1(e= 14, idx= 56) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 58:    58   S0(e= 71, idx=113) | S1(e= 14, idx= 56) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 59:    59   S0(e= 71, idx=113) | S1(e= 14, idx= 56) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 60:    60   S0(e=  7, idx=112) | S1(e= 14, idx= 56) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 61:    61   S0(e=  7, idx=112) | S1(e= 14, idx= 56) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 62:    62   S0(e=  7, idx=112) | S1(e= 14, idx= 56) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
 63:    63   S0(e=  7, idx=112) | S1(e= 14, idx= 56) | S2(e= 28, idx= 28) | S3(e= 56, idx= 14) | S4(e=112, idx=  7) | S5(e= 96, idx=  3) | S6(e= 64, idx=  1)
