132:  1949   (zeta^67 = 2298, pos=97)
133:  2149   (zeta^67 = 2298, pos=97)
134:  3066   (zeta^67 = 2298, pos=97)
135:  1896   (zeta^67 = 2298, pos=97)
136:  2996   (zeta^35 = 2037, pos=98)
137:  2306   (zeta^35 = 2037, pos=98)
138:    63   (zeta^35 = 2037, pos=98)
139:   883   (zeta^35 = 2037, pos=98)
140:  2463   (zeta^99 = 3220, pos=99)
141:  1313   (zeta^99 = 3220, pos=99)
142:  1951   (zeta^99 = 3220, pos=99)
143:  2999   (zeta^99 = 3220, pos=99)
144:    97   (zeta^19 = 375, pos=100)
145:  1806   (zeta^19 = 375, pos=100)
146:  2830   (zeta^19 = 375, pos=100)
147:  2104   (zeta^19 = 375, pos=100)
148:  1771   (zeta^83 = 2549, pos=101)
149:  2453   (zeta^83 = 2549, pos=101)
150:   370   (zeta^83 = 2549, pos=101)
151:  2605   (zeta^83 = 2549, pos=101)
152:   871   (zeta^51 = 2090, pos=102)
153:  1467   (zeta^51 = 2090, pos=102)
154:  2426   (zeta^51 = 2090, pos=102)
155:  1985   (zeta^51 = 2090, pos=102)
156:  2363   (zeta^115 = 1645, pos=103)
157:   658   (zeta^115 = 1645, pos=103)
158:  1015   (zeta^115 = 1645, pos=103)
159:   655   (zeta^115 = 1645, pos=103)
160:   501   (zeta^11 = 1063, pos=104)
161:   664   (zeta^11 = 1063, pos=104)
162:  1249   (zeta^11 = 1063, pos=104)
163:  3120   (zeta^11 = 1063, pos=104)
164:   106   (zeta^75 = 319, pos=105)
165:  3100   (zeta^75 = 319, pos=105)
166:  1274   (zeta^75 = 319, pos=105)
167:  1919   (zeta^75 = 319, pos=105)
168:  1890   (zeta^43 = 2773, pos=106)
169:  2147   (zeta^43 = 2773, pos=106)
170:  1961   (zeta^43 = 2773, pos=106)
171:  1949   (zeta^43 = 2773, pos=106)
172:  1738   (zeta^107 = 757, pos=107)
173:   461   (zeta^107 = 757, pos=107)
174:  2772   (zeta^107 = 757, pos=107)
175:  1270   (zeta^107 = 757, pos=107)
176:  3095   (zeta^27 = 2099, pos=108)
177:  2089   (zeta^27 = 2099, pos=108)
178:  1051   (zeta^27 = 2099, pos=108)
179:  2576   (zeta^27 = 2099, pos=108)
180:  1628   (zeta^91 = 561, pos=109)
181:  1735   (zeta^91 = 561, pos=109)
182:  3195   (zeta^91 = 561, pos=109)
183:  2034   (zeta^91 = 561, pos=109)
184:   655   (zeta^59 = 2466, pos=110)
185:   524   (zeta^59 = 2466, pos=110)
186:  3195   (zeta^59 = 2466, pos=110)
187:   901   (zeta^59 = 2466, pos=110)
188:  2007   (zeta^123 = 2594, pos=111)
189:  1419   (zeta^123 = 2594, pos=111)
190:   157   (zeta^123 = 2594, pos=111)
191:  2334   (zeta^123 = 2594, pos=111)
192:  2344   (zeta^7 = 2804, pos=112)
193:  2825   (zeta^7 = 2804, pos=112)
194:   634   (zeta^7 = 2804, pos=112)
195:   850   (zeta^7 = 2804, pos=112)
196:  2523   (zeta^71 = 1092, pos=113)
197:  2642   (zeta^71 = 1092, pos=113)
198:   672   (zeta^71 = 1092, pos=113)
199:  1604   (zeta^71 = 1092, pos=113)
200:   216   (zeta^39 = 403, pos=114)
201:  3280   (zeta^39 = 403, pos=114)
202:  1317   (zeta^39 = 403, pos=114)
203:   905   (zeta^39 = 403, pos=114)
204:  1165   (zeta^103 = 1026, pos=115)
205:  1532   (zeta^103 = 1026, pos=115)
206:  3059   (zeta^103 = 1026, pos=115)
207:   777   (zeta^103 = 1026, pos=115)
208:   242   (zeta^23 = 1143, pos=116)
209:  1752   (zeta^23 = 1143, pos=116)
210:  2052   (zeta^23 = 1143, pos=116)
211:   533   (zeta^23 = 1143, pos=116)
212:  1006   (zeta^87 = 2150, pos=117)
213:  1858   (zeta^87 = 2150, pos=117)
214:  2336   (zeta^87 = 2150, pos=117)
215:  1183   (zeta^87 = 2150, pos=117)
216:  1656   (zeta^55 = 2775, pos=118)
217:  1668   (zeta^55 = 2775, pos=118)
218:  2037   (zeta^55 = 2775, pos=118)
219:  2946   (zeta^55 = 2775, pos=118)
220:  2184   (zeta^119 = 886, pos=119)
221:  1048   (zeta^119 = 886, pos=119)
222:   104   (zeta^119 = 886, pos=119)
223:  2825   (zeta^119 = 886, pos=119)
224:   877   (zeta^15 = 1722, pos=120)
225:   111   (zeta^15 = 1722, pos=120)
226:  1363   (zeta^15 = 1722, pos=120)
227:  1989   (zeta^15 = 1722, pos=120)
228:  1995   (zeta^79 = 1212, pos=121)
229:   659   (zeta^79 = 1212, pos=121)
230:    12   (zeta^79 = 1212, pos=121)
231:   506   (zeta^79 = 1212, pos=121)
232:  1551   (zeta^47 = 1874, pos=122)
233:  2022   (zeta^47 = 1874, pos=122)
234:  3212   (zeta^47 = 1874, pos=122)
235:  1591   (zeta^47 = 1874, pos=122)
236:  1637   (zeta^111 = 1029, pos=123)
237:  2330   (zeta^111 = 1029, pos=123)
238:  1625   (zeta^111 = 1029, pos=123)
239:  2795   (zeta^111 = 1029, pos=123)
240:   774   (zeta^31 = 2110, pos=124)
241:    70   (zeta^31 = 2110, pos=124)
242:  1002   (zeta^31 = 2110, pos=124)
243:  3194   (zeta^31 = 2110, pos=124)
244:   928   (zeta^95 = 2935, pos=125)
245:   987   (zeta^95 = 2935, pos=125)
246:  2717   (zeta^95 = 2935, pos=125)
247:  3005   (zeta^95 = 2935, pos=125)
248:  2883   (zeta^63 = 885, pos=126)
249:   149   (zeta^63 = 885, pos=126)
250:  2594   (zeta^63 = 885, pos=126)
251:  3105   (zeta^63 = 885, pos=126)
252:  2502   (zeta^127 = 2154, pos=127)
253:  2134   (zeta^127 = 2154, pos=127)
254:  2717   (zeta^127 = 2154, pos=127)
255:  2303   (zeta^127 = 2154, pos=127)
